Model,Features,CV_Accuracy,CV_Accuracy_Std,CV_Precision,CV_Recall,CV_F1,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Training_Time
Logistic Regression,BoW,0.6401074589127687,0.03154412486242389,0.6664782106782107,0.6341333333333333,0.629300589606472,0.5886524822695035,0.6214040404040404,0.5900952380952381,0.5840861945072472,2.23278
Multinomial Naive Bayes,BoW,0.6258375474083439,0.0398090723712568,0.663613431013431,0.6141333333333334,0.6042559921542988,0.6028368794326241,0.6186190476190476,0.5982857142857143,0.5844928404928404,0.065622
Support Vector Machine,BoW,0.601153603034134,0.03752847481785559,0.6339100233100232,0.5949333333333333,0.5872221868946328,0.5673758865248227,0.5815627705627705,0.5693333333333332,0.5585053704465469,0.983681
Decision Tree,BoW,0.31920037926675093,0.025705272509283148,0.358607149462861,0.308,0.29833446432601296,0.3262411347517731,0.34997163755784444,0.31352380952380954,0.28858959244065624,0.185757
Random Forest,BoW,0.6169879898862198,0.040818544303809066,0.6693566044072439,0.6038666666666667,0.60176106238589,0.5886524822695035,0.6416935286935286,0.5878095238095238,0.5814382284382283,1.611024
Logistic Regression,TF-IDF,0.6507427307206068,0.02953727099899473,0.6882670884670886,0.6412,0.6353788040648721,0.5957446808510638,0.6249444444444445,0.5958095238095238,0.5857406216971435,0.134016
Multinomial Naive Bayes,TF-IDF,0.6222819216182047,0.04784130155283925,0.6686351484772538,0.6105333333333333,0.5992995396760102,0.6170212765957447,0.6383015873015873,0.6106666666666666,0.5984858104858105,0.072636
Support Vector Machine,TF-IDF,0.6171144121365361,0.03468098126214655,0.6815625707625708,0.6118666666666666,0.6136752998635352,0.624113475177305,0.6761334482510952,0.6241904761904761,0.6277098457098458,1.071985
Decision Tree,TF-IDF,0.29785082174462707,0.02863512807859849,0.35291890210246374,0.2892,0.28758206573247785,0.3191489361702128,0.35834646962233163,0.3057142857142857,0.30015586304948,0.131543
Random Forest,TF-IDF,0.6135113780025284,0.04063163972217167,0.6818261948577737,0.6018666666666667,0.6027459651459651,0.5673758865248227,0.6606190476190477,0.5706666666666667,0.5693412893412892,1.42481
